Date,Close,High,Low,Open
3/2/2010,2576.490967,2576.989971,2554.373662,2554.373662
3/3/2010,2566.989258,2585.731449,2552.754704,2576.900737
3/4/2010,2565.545166,2579.432565,2557.270586,2566.888131
3/5/2010,2578.671631,2582.987381,2565.954108,2565.954108
3/8/2010,2626.348633,2627.592725,2578.873675,2578.873675
3/9/2010,2657.063477,2657.278556,2624.012762,2626.147689
3/10/2010,2670.11499,2676.169686,2652.745794,2656.758577
3/11/2010,2676.417969,2687.013504,2661.825518,2670.015141
3/12/2010,2666.407227,2686.132533,2660.953337,2676.008904
3/15/2010,2669.50415,2683.003626,2658.451601,2666.306277
3/17/2010,2756.154785,2756.154785,2669.303182,2669.303182
3/18/2010,2737.135254,2779.247626,2718.199957,2756.355452
3/19/2010,2742.867188,2758.018452,2725.542668,2738.696208
3/22/2010,2702.295654,2742.565326,2698.157876,2742.565326
3/23/2010,2720.756104,2746.028069,2702.496805,2702.496805
3/24/2010,2774.741943,2774.741943,2721.058001,2721.058001
3/25/2010,2799.040039,2814.751586,2760.093556,2773.189238
3/26/2010,2812.972656,2812.972656,2792.252515,2799.141163
3/29/2010,2794.662109,2813.68627,2780.321604,2813.381351
3/30/2010,2798.15918,2818.831227,2787.396415,2795.071165
3/31/2010,2777.192871,2809.363493,2758.15455,2798.568015
4/1/2010,2829.885986,2834.130694,2777.596029,2777.596029
4/5/2010,2887.133789,2890.063607,2830.920888,2830.920888
4/6/2010,2880.856934,2911.349644,2871.635368,2888.693543
4/7/2010,2898.469238,2915.995412,2881.258971,2881.258971
4/8/2010,2850.7229,2898.067003,2837.289342,2898.067003
4/9/2010,2844.900391,2870.857389,2833.133758,2850.522242
4/12/2010,2881.220947,2882.601997,2845.503342,2845.503342
4/13/2010,2884.587646,2884.833731,2856.137826,2880.915914
4/14/2010,2884.902588,2897.216318,2875.141005,2884.788579
4/15/2010,2900.417236,2913.604712,2885.003773,2885.003773
4/16/2010,2878.558838,2903.165058,2860.815632,2900.721061
4/19/2010,2840.314697,2877.856207,2811.678847,2877.856207
4/20/2010,2891.157471,2892.507516,2840.515399,2840.515399
4/21/2010,2912.712646,2916.438576,2891.358497,2891.358497
4/22/2010,2926.417969,2927.279996,2882.901598,2912.612598
4/23/2010,2924.616943,2926.274838,2906.916706,2926.015815
4/26/2010,2944.594482,2954.714206,2924.818152,2924.818152
4/27/2010,2939.184814,2944.325484,2930.305033,2943.562574
4/28/2010,2903.206055,2938.883621,2875.556008,2938.883621
4/29/2010,2926.746094,2927.850055,2903.406915,2903.406915
4/30/2010,2971.136475,2972.801449,2927.147218,2927.147218
5/3/2010,2960.779785,2982.24184,2950.317058,2971.631414
5/4/2010,2958.899902,2996.302502,2946.304445,2961.175937
5/5/2010,2846.128174,2958.404807,2834.85249,2958.404807
5/6/2010,2810.506592,2845.930262,2748.57199,2845.930262
5/7/2010,2739.226318,2808.625715,2705.099718,2808.625715
5/10/2010,2850.315918,2859.93859,2739.820224,2739.820224
5/11/2010,2812.781738,2865.366608,2808.458908,2850.712148
5/12/2010,2847.510986,2848.964787,2812.880257,2812.880257
5/14/2010,2858.273926,2869.374569,2843.737381,2847.016307
5/17/2010,2819.360107,2857.877649,2780.285702,2857.877649
5/18/2010,2834.075684,2837.454458,2818.726184,2820.366256
5/19/2010,2729.377686,2833.580662,2721.619198,2833.580662
5/20/2010,2694.144287,2763.77366,2660.015487,2730.181949
5/21/2010,2623.118896,2692.560287,2584.868431,2692.560287
5/24/2010,2609.508545,2672.758036,2600.750829,2623.613953
5/25/2010,2514.020996,2608.914518,2501.956524,2608.914518
5/26/2010,2696.675049,2701.88676,2514.812988,2514.812988
5/27/2010,2713.817383,2731.955592,2618.180971,2696.179886
5/31/2010,2796.848145,2799.343897,2714.213422,2714.213422
6/1/2010,2724.509033,2796.551153,2724.005147,2796.551153
6/2/2010,2733.571777,2771.173344,2721.088376,2724.905122
6/3/2010,2810.867676,2811.722623,2734.066709,2734.066709
